Date,Description,Debit,Credit,Balance
04-01-2024,GROCERY STORE,1740.54,,84754.73
08-01-2024,ONLINE SHOPPING,1030.18,,56475.46
09-01-2024,SALARY CREDIT,,7505.64,57505.64
09-01-2024,INTEREST CREDIT,,7516.34,69308.29
11-01-2024,RESTAURANT BILL,1435.8,,67245.93
11-01-2024,FUND TRANSFER,,5847.97,78897.49
14-01-2024,ONLINE SHOPPING,615.94,,69785.53
20-01-2024,INTEREST CREDIT,,5803.59,73049.52
21-01-2024,INTEREST CREDIT,,1093.18,70401.47
21-01-2024,INTEREST CREDIT,,7597.78,86495.27
30-01-2024,INTEREST CREDIT,,5316.49,61791.95
30-01-2024,ATM WITHDRAWAL,1103.8,,68681.73
